"Autor";"Obra";"Poema"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
VIII Num meio-dia de fim de Primavera Tive um sonho como uma fotografia. Vi Jesus Cristo descer à terra. Veio pela encosta de um monte Tornado outra vez menino, A correr e a rolar-se pela erva E a arrancar flores para as deitar fora E a rir de modo a ouvir-se de longe.   Tinha fugido do céu. Era nosso demais para fingir De segunda pessoa da Trindade. No céu era tudo falso, tudo em desacordo Com flores e árvores e pedras. No céu tinha que estar sempre sério E de vez em quando de se tornar outra vez homem E subir para a cruz, e estar sempre a morrer Com uma coroa toda à roda de espinhos E os pés espetados por um prego com cabeça, E até com um trapo à roda da cintura Como os pretos nas ilustrações. Nem sequer o deixavam ter pai e mãe Como as outras crianças. O seu pai era duas pessoas — Um velho chamado José, que era carpinteiro, E que não era pai dele; E o outro pai era uma pomba estúpida, A única pomba feia do mundo Porque não era do mundo nem era pomba. E a sua mãe não tinha amado antes de o ter.   Não era mulher: era uma mala Em que ele tinha vindo do céu. E queriam que ele, que só nascera da mãe, E nunca tivera pai para amar com respeito, Pregasse a bondade e a justiça!   Um dia que Deus estava a dormir E o Espírito Santo andava a voar, Ele foi à caixa dos milagres e roubou três. Com o primeiro fez que ninguém soubesse que ele tinha fugido. Com o segundo criou-se eternamente humano e menino. Com o terceiro criou um Cristo eternamente na cruz E deixou-o pregado na cruz que há no céu E serve de modelo às outras. Depois fugiu para o Sol E desceu pelo primeiro raio que apanhou. Hoje vive na minha aldeia comigo. É uma criança bonita de riso e natural. Limpa o nariz ao braço direito, Chapinha nas poças de água, Colhe as flores e gosta delas e esquece-as. Atira pedras aos burros, Rouba a fruta dos pomares E foge a chorar e a gritar dos cães. E, porque sabe que elas não gostam E que toda a gente acha graça, Corre atrás das raparigas Que vão em ranchos pelas estradas Com as bilhas às cabeças E levanta-lhes as saias.   A mim ensinou-me tudo. Ensinou-me a olhar para as coisas. Aponta-me todas as coisas que há nas flores. Mostra-me como as pedras são engraçadas Quando a gente as tem na mão E olha devagar para elas.   Diz-me muito mal de Deus. Diz que ele é um velho estúpido e doente, Sempre a escarrar no chão E a dizer indecências. A Virgem Maria leva as tardes da eternidade a fazer meia. E o Espírito Santo coça-se com o bico E empoleira-se nas cadeiras e suja-as. Tudo no céu é estúpido como a Igreja Católica. Diz-me que Deus não percebe nada Das coisas que criou — «Se é que ele as criou, do que duvido.» — «Ele diz, por exemplo, que os seres cantam a sua glória, Mas os seres não cantam nada. Se cantassem seriam cantores. Os seres existem e mais nada, E por isso se chamam seres.» E depois, cansado de dizer mal de Deus, O Menino Jesus adormece nos meus braços E eu levo-o ao colo para casa.   ……   Ele mora comigo na minha casa a meio do outeiro. Ele é a Eterna Criança, o deus que faltava. Ele é o humano que é natural, Ele é o divino que sorri e que brinca. E por isso é que eu sei com toda a certeza Que ele é o Menino Jesus verdadeiro.   E a criança tão humana que é divina É esta minha quotidiana vida de poeta, E é porque ele anda sempre comigo que eu sou poeta sempre. E que o meu mínimo olhar Me enche de sensação, E o mais pequeno som, seja do que for, Parece falar comigo.   A Criança Nova que habita onde vivo Dá-me uma mão a mim E a outra a tudo que existe E assim vamos os três pelo caminho que houver, Saltando e cantando e rindo E gozando o nosso segredo comum Que é o de saber por toda a parte Que não há mistério no mundo E que tudo vale a pena.   A Criança Eterna acompanha-me sempre. A direcção do meu olhar é o seu dedo apontando. O meu ouvido atento alegremente a todos os sons São as cócegas que ele me faz, brincando, nas orelhas.   Damo-nos tão bem um com o outro Na companhia de tudo Que nunca pensamos um no outro, Mas vivemos juntos e dois Com um acordo íntimo Como a mão direita e a esquerda.   Ao anoitecer brincamos as cinco pedrinhas No degrau da porta de casa, Graves como convém a um deus e a um poeta, E como se cada pedra Fosse todo um universo E fosse por isso um grande perigo para ela Deixá-la cair no chão.   Depois eu conto-lhe histórias das coisas só dos homens E ele sorri, porque tudo é incrível. Ri dos reis e dos que não são reis, E tem pena de ouvir falar das guerras, E dos comércios, e dos navios Que ficam fumo no ar dos altos mares. Porque ele sabe que tudo isso falta àquela verdade Que uma flor tem ao florescer E que anda com a luz do Sol A variar os montes e os vales E a fazer doer aos olhos os muros caiados.   Depois ele adormece e eu deito-o. Levo-o ao colo para dentro de casa E deito-o, despindo-o lentamente E como seguindo um ritual muito limpo E todo materno até ele estar nu.   Ele dorme dentro da minha alma E às vezes acorda de noite E brinca com os meus sonhos. Vira uns de pernas para o ar, Põe uns em cima dos outros E bate as palmas sozinho Sorrindo para o meu sono.   ……   Quando eu morrer, filhinho, Seja eu a criança, o mais pequeno. Pega-me tu ao colo E leva-me para dentro da tua casa. Despe o meu ser cansado e humano E deita-me na tua cama. E conta-me histórias, caso eu acorde, Para eu tornar a adormecer. E dá-me sonhos teus para eu brincar Até que nasça qualquer dia Que tu sabes qual é.   ……   Esta é a história do meu Menino Jesus. Por que razão que se perceba Não há-de ser ela mais verdadeira Que tudo quanto os filósofos pensam E tudo quanto as religiões ensinam? 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
X   «Olá, guardador de rebanhos, Aí à beira da estrada, Que te diz o vento que passa?»   «Que é vento, e que passa, E que já passou antes, E que passará depois. E a ti o que te diz?»   «Muita coisa mais do que isso, Fala-me de muitas outras coisas. De memórias e de saudades E de coisas que nunca foram.»   «Nunca ouviste passar o vento. O vento só fala do vento. O que lhe ouviste foi mentira, E a mentira está em ti.» 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XI Aquela senhora tem um piano Que é agradável mas não é o correr dos rios Nem o murmúrio que as árvores fazem...   Para que é preciso ter um piano? O melhor é ter ouvidos E amar a Natureza. 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XII Os pastores de Virgílio tocavam avenas e outras coisas E cantavam de amor literariamente. (Depois — eu nunca li Virgílio. Para que o havia eu de ler?)   Mas os pastores de Virgílio, coitados, são Virgílio, E a Natureza é bela e antiga. 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XIII   Leve, leve, muito leve, Um vento muito leve passa, E vai-se, sempre muito leve. E eu não sei o que penso Nem procuro sabê-lo. 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XIV   Não me importo com as rimas. Raras vezes Há duas árvores iguais, uma ao lado da outra. Penso e escrevo como as flores têm cor Mas com menos perfeição no meu modo de exprimir-me Porque me falta a simplicidade divina De ser todo só o meu exterior.   Olho e comovo-me, Comovo-me como a água corre quando o chão é inclinado, E a minha poesia é natural como o levantar-se o vento... 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XIX   O luar quando bate na relva Não sei que coisa me lembra... Lembra-me a voz da criada velha Contando-me contos de fadas. E de como Nossa Senhora vestida de mendiga Andava à noite nas estradas Socorrendo as crianças maltratadas...   Se eu já não posso crer que isso é verdade Para que bate o luar na relva? 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XL Passa uma borboleta por diante de mim E pela primeira vez no Universo eu reparo Que as borboletas não têm cor nem movimento, Assim como as flores não têm perfume nem cor. A cor é que tem cor nas asas da borboleta, No movimento da borboleta o movimento é que se move. O perfume é que tem perfume no perfume da flor. A borboleta é apenas borboleta E a flor é apenas flor. 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XLI No entardecer dos dias de Verão, às vezes, Ainda que não haja brisa nenhuma, parece Que passa, um momento, uma leve brisa... Mas as árvores permanecem imóveis Em todas as folhas das suas folhas E os nossos sentidos tiveram uma ilusão, Tiveram a ilusão do que lhes agradaria...   Ah!, os sentidos, os doentes que vêem e ouvem! Fôssemos nós como devíamos ser E não haveria em nós necessidade de ilusão... Bastar-nos-ia sentir com clareza e vida E nem repararmos para que há sentidos...   Mas Graças a Deus que há imperfeição no Mundo Porque a imperfeição é uma coisa, E haver gente que erra é original, E haver gente doente torna o Mundo engraçado. Se não houvesse imperfeição, havia uma coisa a menos, E deve haver muita coisa Para termos muito que ver e ouvir... 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XLII   Passou a diligência pela estrada, e foi-se; E a estrada não ficou mais bela, nem sequer mais feia. Assim é a acção humana pelo mundo fora. Nada tiramos e nada pomos; passamos e esquecemos; E o Sol é sempre pontual todos os dias. 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XLIII Antes o voo da ave, que passa e não deixa rasto, Que a passagem do animal, que fica lembrada no chão. A ave passa e esquece, e assim deve ser. O animal, onde já não está e por isso de nada serve, Mostra que já esteve, o que não serve para nada.   A recordação é uma traição à Natureza. Porque a Natureza de ontem não é Natureza. O que foi não é nada, e lembrar é não ver.   Passa, ave, passa, e ensina-me a passar! 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XLIV

Acordo de noite subitamente,
E o meu relógio ocupa a noite toda.
Não sinto a Natureza lá fora.
O meu quarto é uma coisa escura com paredes vagamente brancas.
Lá fora há um sossego como se nada existisse.
Só o relógio prossegue o seu ruído.
E esta pequena coisa de engrenagens que está em cima da minha mesa
Abafa toda a existência da terra e do céu...
Quase que me perco a pensar o que isto significa,
Mas volto-me, e sinto-me sorrir na noite com os cantos da boca,
Porque a única coisa que o meu relógio simboliza ou significa
Enchendo com a sua pequenez a noite enorme
É a curiosa sensação de encher a noite enorme
Com a sua pequenez...
E esta sensação é curiosa porque só para mim é que ele enche a noite 
Com a sua pequenez...

"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XLIX   Meto-me para dentro, e fecho a janela. Trazem o candeeiro e dão as boas-noites. E a minha voz contente dá as boas-noites. Oxalá a minha vida seja sempre isto: O dia cheio de sol, ou suave de chuva, Ou tempestuoso como se acabasse o Mundo, A tarde suave e os ranchos que passam Fitados com interesse da janela, O último olhar amigo dado ao sossego das árvores, E depois, fechada a janela, o candeeiro aceso, Sem ler nada, sem pensar em nada, nem dormir, Sentir a vida correr por mim como um rio por seu leito, E lá fora um grande silêncio como um deus que dorme. 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XLV   Um renque de árvores lá longe, lá para a encosta. Mas o que é um renque de árvores? Há árvores apenas. Renque e o plural árvores não são coisas, são nomes.   Tristes das almas humanas, que põem tudo em ordem, Que traçam linhas de coisa a coisa, Que põem letreiros com nomes nas árvores absolutamente reais, E desenham paralelos de latitude e longitude Sobre a própria terra inocente e mais verde e florida do que isso! 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XLVI Deste modo ou daquele modo, Conforme calha ou não calha, Podendo às vezes dizer o que penso, E outras vezes dizendo-o mal e com misturas, Vou escrevendo os meus versos sem querer, Como se escrever não fosse uma coisa feita de gestos, Como se escrever fosse uma coisa que me acontecesse Como dar-me o sol de fora.   Procuro dizer o que sinto Sem pensar em que o sinto. Procuro encostar as palavras à ideia E não precisar dum corredor Do pensamento para as palavras.   Nem sempre consigo sentir o que sei que devo sentir. O meu pensamento só muito devagar atravessa o rio a nado Porque lhe pesa o fato que os homens o fizeram usar.   Procuro despir-me do que aprendi, Procuro esquecer-me do modo de lembrar que me ensinaram, E raspar a tinta com que me pintaram os sentidos, Desencaixotar as minhas emoções verdadeiras, Desembrulhar-me e ser eu, não Alberto Caeiro, Mas um animal humano que a Natureza produziu.   E assim escrevo, querendo sentir a Natureza, nem sequer como um homem, Mas como quem sente a Natureza, e mais nada. E assim escrevo, ora bem, ora mal, Ora acertando com o que quero dizer, ora errando, Caindo aqui, levantando-me acolá , Mas indo sempre no meu caminho como um cego teimoso.   Ainda assim, sou alguém. Sou o Descobridor da Natureza. Sou o Argonauta das sensações verdadeiras. Trago ao Universo um novo Universo Porque trago ao Universo ele-próprio.   Isto sinto e isto escrevo Perfeitamente sabedor e sem que não veja Que são cinco horas do amanhecer E que o Sol, que ainda não mostrou a cabeça Por cima do muro do horizonte, Ainda assim já se lhe vêem as pontas dos dedos Agarrando o cimo do muro Do horizonte cheio de montes baixos. 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XLVII   Num dia excessivamente nítido, Dia em que dava a vontade de ter trabalhado muito Para nele não trabalhar nada, Entrevi, como uma estrada por entre as árvores, O que talvez seja o Grande Segredo, Aquele Grande Mistério de que os poetas falsos falam.   Vi que não há Natureza, Que Natureza não existe, Que há montes, vales, planícies, Que há árvores, flores, ervas, Que há rios e pedras, Mas que não há um todo a que isso pertença, Que um conjunto real e verdadeiro É uma doença das nossas ideias.   A Natureza é partes sem um todo. Isto e talvez o tal mistério de que falam.   Foi isto o que sem pensar nem parar, Acertei que devia ser a verdade Que todos andam a achar e que não acham, E que só eu, porque a não fui achar, achei. 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XLVIII Da mais alta janela da minha casa Com um lenço branco digo adeus Aos meus versos que partem para a humanidade   E não estou alegre nem triste. Esse é o destino dos versos. Escrevi-os e devo mostrá-los a todos Porque não posso fazer o contrário Como a flor não pode esconder a cor, Nem o rio esconder que corre, Nem a árvore esconder que dá fruto.   Ei-los que vão já longe como que na diligência E eu sem querer sinto pena Como uma dor no corpo.   Quem sabe quem os lerá? Quem sabe a que mãos irão?   Flor, colheu-me o meu destino para os olhos. Árvore, arrancaram-me os frutos para as bocas. Rio, o destino da minha água era não ficar em mim. Submeto-me e sinto-me quase alegre, Quase alegre como quem se cansa de estar triste.   Ide, ide, de mim! Passa a árvore e fica dispersa pela Natureza. Murcha a flor e o seu pó dura sempre. Corre o rio e entra no mar e a sua água é sempre a que foi sua.   Passo e fico, como o Universo. 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XV As quatro canções que seguem Separam-se de tudo o que eu penso, Mentem a tudo o que eu sinto, São do contrário do que eu sou...   Escrevi-as estando doente E por isso elas são naturais E concordam com aquilo que sinto, Concordam com aquilo com que não concordam... Estando doente devo pensar o contrário Do que penso quando estou são. (Senão não estaria doente), Devo sentir o contrário do que sinto Quando sou eu na saúde, Devo mentir à minha natureza De criatura que sente de certa maneira… Devo ser todo doente — ideias e tudo. Quando estou doente, não estou doente para outra coisa.   Por isso essas canções que me renegam Não são capazes de me renegar E são a paisagem da minha alma de noite, A mesma ao contrário... 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XVI    Quem me dera que a minha vida fosse um carro de bois Que vem a chiar, manhaninha cedo, pela estrada, E que para de onde veio volta depois Quase à noitinha pela mesma estrada.   Eu não tinha que ter esperanças — tinha só que ter rodas... A minha velhice não tinha rugas nem cabelo branco... Quando eu já não servia, tiravam-me as rodas E eu ficava virado e partido no fundo de um barranco.   Ou então faziam de mim qualquer coisa diferente E eu não sabia nada do que de mim faziam... Mas eu não sou um carro, sou diferente Mas em que sou realmente diferente nunca me diriam. 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XVII   No meu prato que mistura de Natureza! As minhas irmãs as plantas, As companheiras das fontes, as santas A quem ninguém reza...   E cortam-se e vêm à nossa mesa E nos hotéis os hóspedes ruidosos, Que chegam com correias tendo mantas Pedem «Salada», descuidosos…, Sem pensar que exigem à Terra-Mãe A sua frescura e os seus filhos primeiros, As primeiras verdes palavras que ela tem, As primeiras coisas vivas e irisantes Que Noé viu Quando as águas desceram e o cimo dos montes Verde e alagado surgiu E no ar por onde a pomba apareceu O arco-íris se esbateu... 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XX O Tejo é mais belo que o rio que corre pela minha aldeia, Mas o Tejo não é mais belo que o rio que corre pela minha aldeia Porque o Tejo não é o rio que corre pela minha aldeia,   O Tejo tem grandes navios E navega nele ainda, Para aqueles que vêem em tudo o que lá não está, A memória das naus.   O Tejo desce de Espanha E o Tejo entra no mar em Portugal. Toda a gente sabe isso. Mas poucos sabem qual é o rio da minha aldeia E para onde ele vai E donde ele vem. E por isso, porque pertence a menos gente, É mais livre e maior o rio da minha aldeia.   Pelo Tejo vai-se para o Mundo. Para além do Tejo há a América E a fortuna daqueles que a encontram. Ninguém nunca pensou no que há para além Do rio da minha aldeia.   O rio da minha aldeia não faz pensar em nada Quem está ao pé dele está só ao pé dele. 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XXI

Se eu pudesse trincar a terra toda
E sentir-lhe um paladar,
E se a terra fosse uma coisa para trincar
Seria mais feliz um momento...
Mas eu nem sempre quero ser feliz.
É preciso ser de vez em quando infeliz
Para se poder ser natural...

Nem tudo é dias de sol,
E a chuva, quando falta muito, pede-se.
Por isso tomo a infelicidade com a felicidade
Naturalmente, como quem não estranha
Que haja montanhas e planícies
E que haja rochedos e erva...

O que é preciso é ser-se natural e calmo
Na felicidade ou na infelicidade,
Sentir como quem olha,
Pensar como quem anda,
E quando se vai morrer, lembrar-se de que o dia morre,
E que o poente é belo e é bela a noite que fica...
Assim é e assim seja...

"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XXII  Como quem num dia de Verão abre a porta de casa E espreita para o calor dos campos com a cara toda, Às vezes, de repente, bate-me a Natureza de chapa Na cara dos meus sentidos, E eu fico confuso, perturbado, querendo perceber Não sei bem como nem o quê...   Mas quem me mandou a mim querer perceber? Quem me disse que havia que perceber?   Quando o Verão me passa pela cara A mão leve e quente da sua brisa, Só tenho que sentir agrado porque é brisa Ou que sentir desagrado porque é quente, E de qualquer maneira que eu o sinta, Assim, porque assim o sinto, é que é meu dever senti-lo... 
"
"Alberto Caeiro";"O GUARDADOR DE REBANHOS";"
XXIII  O meu olhar azul como o céu É calmo como a água ao sol. É assim, azul e calmo, Porque não interroga nem se espanta...   Se eu interrogasse e me espantasse Não nasciam flores novas nos prados Nem mudaria qualquer coisa no sol de modo a ele ficar mais belo... (Mesmo se nascessem flores novas no prado E se o sol mudasse para mais belo, Eu sentiria menos flores no prado E achava mais feio o sol... Porque tudo é como é e assim é que é, E eu aceito, e nem agradeço, Para não parecer que penso nisso…) 
"
